id,language,currentEducation,experienceYears,interest_list,skill_list,learningResource_list,tools_list
0047b259-36cc-4e3f-b820-ca16818d47dd,Korean,Master Degree,4,"['AI Planning and Optimization', 'AI Ethics', 'Neural Networks', 'Speech Recognition', 'AI in Healthcare', 'Autonomous Vehicles', 'Natural Language Processing', 'Computer Vision', 'Expert Systems', 'AI for Games', 'Reinforcement Learning', 'Recommender Systems', 'Cognitive Computing']","['Coursera', 'Kaggle', 'Udemy', 'YouTube', 'Google AI', 'Harvard Online', 'edX', 'Stanford Online', '']","['MIT OpenCourseWare', 'GitHub', 'Kaggle', 'Udemy', 'Google AI', 'edX', 'Coursera']","['OpenAI GPT', 'IBM Watson', '', 'BigML', 'RapidMiner']"
02f1258e-5cde-4827-9f19-b74059a961d2,Bengali,High School,0,"['Expert Systems', '', 'AI in Healthcare', 'AI for Games', 'AI in Finance', 'AI Ethics', 'Natural Language Processing', 'Reinforcement Learning', 'Robotics', 'AI Planning and Optimization', 'Speech Recognition', 'Computer Vision', 'AI in Education']",[''],['YouTube'],"['RapidMiner', 'TensorFlow', 'OpenCV', 'PyTorch', 'Amazon SageMaker', 'BigML', 'Scikit-learn', '', 'Hugging Face Transformers', 'Keras', 'DataRobot']"
0553f2f6-3cc0-4ff3-a34c-52ed8784a560,Japanese,,5,"['Recommender Systems', 'Robotics', 'AI in Finance', 'Reinforcement Learning', 'AI Ethics', 'AI Planning and Optimization', 'Neural Networks', 'Autonomous Vehicles', 'AI in Education', 'AI in Healthcare', 'Machine Learning', 'Computer Vision', 'Expert Systems', 'Speech Recognition', 'Natural Language Processing', '', 'AI for Games']","['edX', 'Harvard Online', '', 'Udemy', 'YouTube', 'DeepLearning.ai', 'Stanford Online', 'GitHub', 'Kaggle', 'Google AI', 'Coursera']","['Coursera', 'edX', 'MIT OpenCourseWare', 'Udemy', 'GitHub', 'YouTube', 'DeepLearning.ai', 'Stanford Online', 'Google AI', 'Kaggle', '']","['BigML', 'IBM Watson', 'OpenCV', 'DataRobot', 'RapidMiner', 'TensorFlow', 'Amazon SageMaker', 'OpenAI GPT', 'Google Cloud AI', '']"
064cc00f-1c8f-4321-8404-1f370f9177d3,Portuguese,High School,0,"['Natural Language Processing', 'Deep Learning', 'Machine Learning', 'Speech Recognition', 'AI Planning and Optimization', 'Neural Networks', 'Recommender Systems', 'AI in Finance', '', 'Expert Systems', 'AI Ethics', 'Reinforcement Learning', 'AI for Games']",[''],"['edX', 'GitHub', 'Harvard Online', 'MIT OpenCourseWare', 'Kaggle', 'Udemy', 'Google AI', '', 'DeepLearning.ai', 'Stanford Online', 'Coursera']","['Hugging Face Transformers', 'BigML', 'Microsoft Azure AI', 'OpenCV', 'DataRobot', '', 'RapidMiner', 'Keras', 'Amazon SageMaker', 'Google Cloud AI', 'PyTorch']"
07c3a360-61ec-40e3-bcf3-b4c943d5d27a,Turkish,Elementary,1,"['', 'AI in Finance', 'Robotics', 'AI in Healthcare', 'Computer Vision', 'Autonomous Vehicles', 'Speech Recognition', 'Natural Language Processing', 'Machine Learning', 'AI Ethics', 'AI for Games', 'Generative AI', 'Neural Networks', 'Expert Systems', 'AI Planning and Optimization']","['Coursera', 'Google AI']","['MIT OpenCourseWare', 'Harvard Online', 'Google AI', 'DeepLearning.ai', 'YouTube', 'Udemy', 'Stanford Online', 'GitHub']","['Microsoft Azure AI', 'Amazon SageMaker', 'IBM Watson', 'BigML', 'TensorFlow', 'Hugging Face Transformers', 'Google Cloud AI', 'Keras', 'Scikit-learn', 'DataRobot', 'OpenAI GPT', 'PyTorch']"
08867f09-3e51-4aa8-843d-f9fb68a112cd,Turkish,,5,"['Cognitive Computing', 'AI Planning and Optimization', 'Computer Vision', 'AI in Healthcare', 'AI for Games', 'Autonomous Vehicles', 'Speech Recognition', 'Neural Networks', 'Natural Language Processing', 'Reinforcement Learning']","['MIT OpenCourseWare', 'Google AI', 'Harvard Online', 'YouTube', 'Udemy', 'Stanford Online', 'DeepLearning.ai', 'GitHub', 'Coursera', 'edX', '']","['MIT OpenCourseWare', 'YouTube', '', 'Harvard Online', 'GitHub']","['OpenCV', '', 'Amazon SageMaker', 'Scikit-learn', 'Weka', 'Microsoft Azure AI', 'TensorFlow', 'BigML', 'OpenAI GPT']"
0a31637f-7367-4a86-9d75-3de4f9a3058d,English,Middle School,1,"['AI for Games', 'Computer Vision']","['Stanford Online', 'Kaggle', '']","['Harvard Online', 'Google AI', 'Udemy', 'Kaggle', 'MIT OpenCourseWare', 'DeepLearning.ai', '', 'GitHub']","['Weka', 'BigML', 'DataRobot', 'OpenCV', 'Keras', 'OpenAI GPT', 'PyTorch', 'TensorFlow', 'Hugging Face Transformers', 'Amazon SageMaker']"
0a4d08d6-5c8f-436f-ae00-bc823695a101,Japanese,,5,"['AI Planning and Optimization', 'Deep Learning', 'AI in Finance', 'Generative AI']","['Udemy', 'GitHub', 'Harvard Online', 'DeepLearning.ai', 'Stanford Online', 'YouTube', 'Coursera', '', 'Google AI', 'MIT OpenCourseWare', 'edX']",['Google AI'],"['OpenCV', 'BigML', '', 'OpenAI GPT', 'TensorFlow', 'Keras', 'DataRobot', 'Weka', 'Google Cloud AI', 'Hugging Face Transformers', 'PyTorch']"
0b41b012-bb66-4ba4-9685-85bc1f88127b,Swedish,High School,0,"['Cognitive Computing', 'AI in Education', 'Reinforcement Learning', 'AI in Healthcare', 'Speech Recognition']",['GitHub'],"['DeepLearning.ai', 'MIT OpenCourseWare', 'Stanford Online', 'Kaggle', 'edX', 'Harvard Online']","['PyTorch', 'BigML', 'Microsoft Azure AI', 'OpenAI GPT', 'Google Cloud AI', 'Scikit-learn', 'RapidMiner', 'Hugging Face Transformers', 'IBM Watson', '', 'Weka', 'DataRobot', 'Keras', 'OpenCV', 'TensorFlow']"
0bf6f129-dff7-4f97-a816-3124dc035a0f,French,Master Degree,4,"['Speech Recognition', 'AI in Finance', 'Neural Networks', 'AI Planning and Optimization', 'Cognitive Computing', 'Autonomous Vehicles', 'Expert Systems']","['Coursera', 'MIT OpenCourseWare', 'GitHub', 'YouTube', 'Harvard Online', 'Kaggle', 'edX', '', 'Udemy']","['Kaggle', 'GitHub', '', 'Udemy', 'Coursera', 'Google AI', 'DeepLearning.ai', 'MIT OpenCourseWare', 'Harvard Online', 'edX']","['OpenAI GPT', 'OpenCV', 'Microsoft Azure AI', 'Weka', '', 'Google Cloud AI', 'Amazon SageMaker', 'Hugging Face Transformers', 'PyTorch', 'Scikit-learn', 'IBM Watson', 'Keras', 'RapidMiner']"
0c6186b0-a9c3-4409-8955-bbf10b8661f8,Spanish,Middle School,1,"['Recommender Systems', 'AI in Healthcare', 'Reinforcement Learning', 'Neural Networks', 'AI for Games', 'Cognitive Computing', 'AI in Education']","['YouTube', 'Google AI', 'MIT OpenCourseWare']","['Kaggle', 'GitHub', 'YouTube']","['Google Cloud AI', 'PyTorch', 'Microsoft Azure AI', 'OpenCV', 'Amazon SageMaker', 'IBM Watson']"
0c7aaedb-d0b4-41ee-a175-db7be838592b,Italian,University,2,"['Autonomous Vehicles', '', 'Expert Systems', 'Recommender Systems', 'AI Planning and Optimization', 'Machine Learning', 'Natural Language Processing', 'AI in Finance', 'AI in Education', 'Deep Learning', 'Computer Vision', 'AI in Healthcare', 'AI Ethics', 'Reinforcement Learning', 'Speech Recognition', 'Generative AI']","['Stanford Online', 'Google AI', 'edX', 'Coursera', 'MIT OpenCourseWare', 'DeepLearning.ai']","['edX', 'YouTube', 'Udemy']","['OpenAI GPT', 'BigML', 'DataRobot', 'OpenCV', 'Amazon SageMaker', 'Weka', 'TensorFlow', 'RapidMiner', 'Scikit-learn', 'Microsoft Azure AI']"
0d13f4a9-1b7b-425a-b4c3-99b9e6e92ec4,Dutch,University,2,"['AI Ethics', 'Reinforcement Learning']","['Stanford Online', 'Kaggle', 'Udemy', 'YouTube', '', 'DeepLearning.ai']","['Coursera', 'YouTube', 'GitHub', 'Kaggle', 'Google AI', 'DeepLearning.ai', 'Udemy']","['Weka', 'Microsoft Azure AI']"
0da83f9a-7acd-4a0a-9d49-7fac0dcb62d7,Greek,Middle School,2,"['AI in Education', 'Generative AI', 'AI Planning and Optimization', 'Recommender Systems', 'Expert Systems', '', 'Computer Vision', 'AI in Finance']","['MIT OpenCourseWare', 'Google AI', 'edX', 'Stanford Online']","['Harvard Online', 'Stanford Online', 'Kaggle', 'YouTube', 'Coursera', 'GitHub', 'Udemy', 'Google AI', 'edX', '', 'DeepLearning.ai']","['Microsoft Azure AI', 'IBM Watson', 'Weka', 'PyTorch', 'Keras', 'Google Cloud AI', 'OpenCV', '', 'BigML', 'OpenAI GPT', 'DataRobot', 'TensorFlow']"
0e08261e-e859-4a41-951b-2b427f18c68c,Bengali,High School,0,"['AI Ethics', 'Neural Networks', '', 'AI for Games', 'Expert Systems', 'Generative AI', 'AI in Education', 'AI in Healthcare', 'Autonomous Vehicles', 'Computer Vision']",[''],"['GitHub', 'Coursera', 'Udemy', '', 'edX', 'MIT OpenCourseWare', 'Google AI', 'Kaggle', 'DeepLearning.ai']","['BigML', 'Weka', 'OpenCV', 'Scikit-learn', 'Hugging Face Transformers', 'Amazon SageMaker', '', 'RapidMiner', 'Microsoft Azure AI', 'Keras', 'DataRobot', 'PyTorch', 'IBM Watson', 'OpenAI GPT', 'Google Cloud AI']"
0e61daa1-1223-4535-a54e-a55a9c608353,Thai,High School,0,"['Reinforcement Learning', 'Autonomous Vehicles', 'Recommender Systems', 'AI Planning and Optimization', 'Speech Recognition', '', 'Neural Networks', 'Computer Vision', 'Cognitive Computing', 'Generative AI', 'Natural Language Processing']",['YouTube'],"['MIT OpenCourseWare', 'Kaggle', 'Coursera', 'edX']","['Amazon SageMaker', 'Keras', 'Microsoft Azure AI', 'Hugging Face Transformers', 'BigML', 'Google Cloud AI', 'Weka']"
0f635f7f-2415-4661-859d-3eb14c5ebbe9,Thai,University,2,"['Recommender Systems', '', 'Computer Vision', 'Speech Recognition', 'AI Ethics']","['MIT OpenCourseWare', 'YouTube', 'Kaggle', '', 'DeepLearning.ai', 'edX']","['YouTube', 'GitHub', 'DeepLearning.ai', 'Stanford Online', '', 'Harvard Online', 'MIT OpenCourseWare', 'Coursera', 'edX']","['Microsoft Azure AI', 'Scikit-learn', 'Weka', '', 'BigML', 'Keras']"
11dc511d-7401-4586-8edf-287f06e758f9,Korean,,5,"['Autonomous Vehicles', 'Machine Learning', 'AI for Games', 'Deep Learning', 'AI in Healthcare', 'Neural Networks', 'Natural Language Processing', 'Reinforcement Learning', 'AI in Education', 'Recommender Systems', 'Robotics', 'AI Ethics', 'AI in Finance', 'AI Planning and Optimization', 'Expert Systems', 'Speech Recognition', 'Computer Vision', 'Cognitive Computing']","['GitHub', 'Stanford Online', 'Kaggle', 'MIT OpenCourseWare', 'YouTube', 'edX', 'DeepLearning.ai', 'Google AI', 'Harvard Online', '', 'Udemy']","['edX', 'Kaggle', 'YouTube', 'GitHub', 'Google AI', '', 'Udemy']","['PyTorch', 'DataRobot', 'Weka', '', 'Keras', 'OpenCV', 'IBM Watson', 'OpenAI GPT', 'RapidMiner', 'Scikit-learn', 'BigML', 'Amazon SageMaker']"
134b5d18-0556-43a2-99dd-10e3ede6b267,Arabic,Middle School,1,['Machine Learning'],"['DeepLearning.ai', 'Harvard Online', 'GitHub']","['YouTube', 'Harvard Online', '', 'DeepLearning.ai', 'MIT OpenCourseWare', 'Stanford Online', 'Google AI', 'Udemy', 'edX', 'Coursera']","['PyTorch', 'BigML', 'TensorFlow', 'Amazon SageMaker', 'Google Cloud AI', '', 'Hugging Face Transformers']"
15a5bd49-5693-4b2b-82ff-f28caf811aa3,Mandarin,University,2,"['AI Planning and Optimization', 'Generative AI', 'Recommender Systems', 'Natural Language Processing', 'Computer Vision', 'Neural Networks', 'Speech Recognition', '', 'AI for Games', 'AI in Healthcare', 'Cognitive Computing', 'Reinforcement Learning', 'Machine Learning', 'Expert Systems']","['Harvard Online', 'edX', 'Google AI', 'GitHub', 'YouTube', '']","['Harvard Online', 'Google AI', 'MIT OpenCourseWare', 'GitHub', 'edX', 'Coursera']","['IBM Watson', 'Weka', 'OpenCV', 'BigML', 'DataRobot', 'RapidMiner', 'OpenAI GPT', '', 'PyTorch', 'TensorFlow', 'Scikit-learn']"
16d3de1a-0afa-4533-9e4f-44706bcc1743,Spanish,High School,0,"['Recommender Systems', 'Reinforcement Learning', 'AI for Games', 'AI in Education', 'Computer Vision', 'AI Planning and Optimization', 'Robotics', 'Autonomous Vehicles', 'Machine Learning', 'Speech Recognition', 'AI Ethics', 'Deep Learning', 'Neural Networks', 'Generative AI', 'Cognitive Computing']",[''],"['Harvard Online', 'Coursera', 'YouTube', 'GitHub', 'Kaggle', 'Udemy', 'Stanford Online', '', 'edX', 'Google AI', 'MIT OpenCourseWare']","['Amazon SageMaker', 'OpenCV', 'Scikit-learn', 'Hugging Face Transformers', 'Keras', 'IBM Watson', '', 'Weka', 'TensorFlow', 'Microsoft Azure AI', 'DataRobot']"
177b45ee-09e8-453f-836a-35da7b85ca21,Portuguese,,5,"['AI in Healthcare', 'Neural Networks', 'Machine Learning', 'Generative AI', 'Recommender Systems', 'AI for Games']","['Udemy', 'Google AI', 'Kaggle', 'Stanford Online', '', 'GitHub', 'MIT OpenCourseWare', 'DeepLearning.ai', 'YouTube', 'edX', 'Harvard Online']",['YouTube'],"['Keras', 'PyTorch', 'OpenCV', 'Google Cloud AI', 'OpenAI GPT', 'TensorFlow', '', 'RapidMiner', 'BigML', 'DataRobot', 'Microsoft Azure AI', 'IBM Watson']"
19ad7f5d-2d9e-4966-9171-af7f4e62ff69,Greek,,5,"['Computer Vision', 'AI for Games', 'AI in Education', '', 'Speech Recognition']","['Kaggle', 'GitHub', 'YouTube', 'MIT OpenCourseWare', '', 'Harvard Online', 'Stanford Online', 'DeepLearning.ai', 'Udemy', 'Coursera', 'Google AI']","['GitHub', 'Harvard Online', 'Udemy', 'edX', 'DeepLearning.ai', 'Kaggle']","['IBM Watson', 'DataRobot', 'RapidMiner', '', 'TensorFlow']"
1a062bf2-aec7-4063-9daf-c1698f209d09,Swedish,High School,0,"['AI in Education', 'AI Ethics', 'Natural Language Processing', 'AI in Healthcare', 'Speech Recognition', 'Robotics']",['Harvard Online'],"['Harvard Online', 'DeepLearning.ai', '', 'Stanford Online', 'MIT OpenCourseWare', 'Google AI', 'Coursera', 'Kaggle']","['DataRobot', 'RapidMiner', 'Hugging Face Transformers', 'TensorFlow']"
1b83ab02-2f45-46f5-9b06-168cae442740,Japanese,High School,0,"['Natural Language Processing', 'Computer Vision', 'AI Ethics', 'Autonomous Vehicles', 'Robotics', 'Expert Systems', 'Reinforcement Learning', 'AI Planning and Optimization', 'Recommender Systems', 'Speech Recognition', 'Cognitive Computing', 'Neural Networks', 'AI in Healthcare', 'AI in Finance', 'AI for Games', '', 'Generative AI', 'Machine Learning', 'AI in Education']",[''],"['Harvard Online', 'MIT OpenCourseWare', 'YouTube', 'Udemy', 'edX', 'Google AI', '', 'GitHub', 'Kaggle', 'DeepLearning.ai']","['IBM Watson', 'OpenCV', 'RapidMiner', 'Keras']"
1c589610-9852-467b-aa3d-8e810f50358b,Arabic,Middle School,2,"['Reinforcement Learning', 'Computer Vision', 'Machine Learning', 'Cognitive Computing', 'Speech Recognition', '', 'Expert Systems', 'AI Planning and Optimization', 'Neural Networks', 'AI for Games', 'Deep Learning', 'Robotics', 'Natural Language Processing', 'AI in Finance', 'AI in Education', 'Recommender Systems', 'Autonomous Vehicles', 'AI Ethics', 'AI in Healthcare']","['edX', 'Stanford Online', 'GitHub', '']","['MIT OpenCourseWare', '']","['BigML', 'DataRobot', 'Keras', 'Amazon SageMaker', 'TensorFlow', 'OpenCV', 'RapidMiner', '', 'Hugging Face Transformers']"
20ec09e0-3c50-4805-86c2-21e530ffb4e6,Korean,Middle School,2,"['AI in Finance', 'Neural Networks', 'Deep Learning']","['edX', 'Coursera', 'Kaggle', 'Stanford Online']",['DeepLearning.ai'],"['Amazon SageMaker', 'Hugging Face Transformers', 'DataRobot', '', 'Google Cloud AI', 'OpenAI GPT', 'Scikit-learn', 'Keras']"
24d0f519-9380-42f9-8ccc-7c3117360c99,Dutch,High School,0,"['Autonomous Vehicles', 'AI Planning and Optimization']",['DeepLearning.ai'],"['Google AI', 'GitHub', 'edX', 'Kaggle', 'Harvard Online', 'Stanford Online', 'Udemy', 'Coursera', 'YouTube']","['RapidMiner', 'BigML', '', 'DataRobot', 'OpenAI GPT', 'Google Cloud AI', 'Keras', 'OpenCV', 'Amazon SageMaker', 'Scikit-learn', 'Weka', 'Microsoft Azure AI']"
259d9470-154d-450b-ac7c-bb642db20ed2,Arabic,University,2,"['Neural Networks', 'AI Planning and Optimization', 'Autonomous Vehicles', 'AI in Healthcare', 'AI Ethics', '', 'Speech Recognition', 'AI in Finance', 'Natural Language Processing', 'Machine Learning', 'Expert Systems']","['', 'Stanford Online', 'DeepLearning.ai', 'Coursera', 'edX', 'Udemy']","['Kaggle', 'Harvard Online', 'Coursera', 'GitHub', 'DeepLearning.ai', 'MIT OpenCourseWare', 'edX']","['BigML', 'RapidMiner', 'Microsoft Azure AI', 'OpenCV', 'IBM Watson', 'Scikit-learn']"
